month,country_1,country_2,avg_sentiment
2023-01,NLD,NLD,-2.0528893374467758
2023-01,ESP,TUR,-2.0707242985962262
2023-01,FRA,AUT,-0.83267421165686883
2023-01,FRA,AFR,-1.5139172402927747
2023-01,VNM,PHL,-0.51392165222255692
2023-01,BLR,DEU,-1.9391450425517451
2023-01,AFR,IND,-2.827522851712176
2023-01,NGA,MDV,-3.0893830041052048
2023-01,SRB,UGA,-5.1698670605613
2023-01,VNM,GBR,0.72383711729339284
2023-01,LBN,CHE,-1.7269462303904297
2023-01,PAN,CHL,-0.1973976515391922
2023-01,ETH,EUR,-1.7008762492883882
2023-01,QAT,NPL,-3.50870720188904
2023-01,ECU,BOL,0.62785075781485844
2023-01,TUR,MKD,2.2698455625508411
2023-01,VNM,NPL,2.40564524751417
2023-01,KEN,AUS,-1.9267688097718478
2023-01,ESP,ISR,-0.804037608231703
2023-01,QAT,YEM,1.5088472967897342
2023-01,BOL,PAN,2.59259259259259
2023-01,QAT,SEN,-1.9308950390657782
2023-01,EST,FRA,1.602644500910136
2023-01,CIV,AFR,-0.43920088683626612
2023-01,CHN,MLT,4.0233642193121533
2023-01,LTU,ARM,-4.8267019604599195
2023-01,LBN,EGY,-0.46082215251078812
2023-01,SRB,HUN,-2.271219167496938
2023-01,UKR,MNG,1.5371304257345551
2023-01,ZWE,SMR,6.68789808917197
2023-01,ARM,GRC,-6.36689967882109
2023-01,PSE,POL,-2.7849509138147934
2023-01,PAK,KWT,2.058705602313986
2023-01,CRI,HND,-3.78973105134475
2023-01,CHE,CZE,0.93266050169296288
2023-01,IRQ,PGS,1.3868576080708959
2023-01,CRB,GBR,-0.44623419865613978
2023-01,JOR,PER,-8.47469442696598
2023-01,WSM,NZL,0.095380910497876226
2023-01,ESP,SLV,0.33337539680622008
2023-01,DEU,ALB,-3.3368388302046852
2023-01,AUS,NRU,-0.9982631848953093
2023-01,FJI,ITA,0.59238829160127826
2023-01,LVA,CHN,-1.3582629426293873
2023-01,NGA,NOR,-3.2059727711901598
2023-01,SYR,AFG,-3.3339907190686642
2023-01,ARG,KNA,-1.73824130879346
2023-01,BRN,AUS,-0.3257122799046
2023-01,LTU,AFR,-6.61478599221789
2023-01,PHL,COL,-5.8505864481347283
2023-01,QAT,THA,-0.7463111236774953
2023-01,BEL,MDV,-4.0813799905406754
2023-01,DZA,SYR,-3.5042207688334983
2023-01,JOR,COL,-1.57811678064177
2023-01,TKM,FRA,0.0
2023-01,TCD,AUS,-1.150555090514005
2023-01,NLD,GHA,3.125
2023-01,UKR,LCA,-1.23203285420944
2023-01,IND,SLV,2.07253886010363
2023-01,BFA,BEN,2.3888655635297749
2023-01,BDI,UGA,-4.61285008237232
2023-01,AFR,UZB,-1.92307692307693
2023-01,NOR,LBN,-3.16205533596838
2023-01,BGR,LBY,-0.61068702290076
2023-01,SYR,HUN,-1.13260028684428
2023-01,COG,EUR,-5.3263879462704331
2023-01,AZE,SYR,-5.2473314101221087
2023-01,TUR,NLD,-4.8662740462846132
2023-01,GRC,AUS,1.0877367635953059
2023-01,CHN,PHL,0.88935839220823754
2023-01,DEU,EUR,-1.5387664594133068
2023-01,COD,FRA,-1.658606806757994
2023-01,FRA,ETH,-0.52050323352077577
2023-01,LUX,DEU,-1.2769481188604734
2023-01,MYS,THA,0.11377130966165766
2023-01,ITA,MCO,2.4408884498437078
2023-01,GRC,SAU,3.0734014475903439
2023-01,MLT,EUR,-1.1399102517348971
2023-01,USA,BMU,0.75568191125514461
2023-01,MLT,ARM,5.54554193703437
2023-01,SEA,LAO,3.9114950399144925
2023-01,CUB,ATG,3.0095131106177728
2023-01,FIN,DNK,-0.57264923720462235
2023-01,CAF,USA,-0.59627108085258
2023-01,PSE,IRQ,-1.8348385714860977
2023-01,CAN,SYR,-3.7370407206527196
2023-01,CYP,ARM,-4.2659123131808085
2023-01,NOR,MDV,-1.7173849998859532
2023-01,ASA,AFG,-1.25523012552301
2023-01,IDN,SWE,-4.1645306424828323
2023-01,RWA,SAU,3.32480818414323
2023-01,SGP,CHE,0.82234021131806223
2023-01,VAT,HUN,0.774251805985552
2023-01,MYS,OMN,-0.53352861177947664
2023-01,CHN,LUX,-1.3421926209125563
2023-01,SAU,SAS,0.54936036471830718
2023-01,SAU,ARG,0.40657428292735187
2023-01,ERI,RUS,-1.1448548134878243
2023-01,PRT,GNB,1.1709177718957737
2023-01,BGD,BWA,-4.30107526881721
2023-01,LBN,THA,-5.50847457627119
2023-01,AUT,CZE,1.2143061628067757
2023-01,JOR,BLZ,-3.125
2023-01,GBR,VUT,6.26865671641791
2023-01,SEN,GBR,1.22832667357883
2023-01,ZAF,VEN,-1.8828358342424854
