url,title,date,domain,language,country_1_iso3,country_2_iso3,sentiment,fetched_at
https://www.ntdtv.com/b5/2025/11/09/a104036888.html,德國將重新審查與中國的貿易關係 | 對華貿易 | 中共管制稀土,20251109T080000Z,ntdtv.com,Chinese,IND,DEU,0.0,2025-11-15T18:09:42.124075
http://www.middleeaststar.com/news/278692002/rmg-imports-from-bangladesh-drop-by-27-percent-during-april-sept-after-govt-restrictions,RMG imports from Bangladesh drop by 27 percent during April - Sept after govt restrictions,20251113T164500Z,middleeaststar.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124088
http://www.europesun.com/news/278692002/rmg-imports-from-bangladesh-drop-by-27-percent-during-april-sept-after-govt-restrictions,RMG imports from Bangladesh drop by 27 percent during April - Sept after govt restrictions,20251113T150000Z,europesun.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124101
http://www.arabherald.com/news/278692002/rmg-imports-from-bangladesh-drop-by-27-percent-during-april-sept-after-govt-restrictions,RMG imports from Bangladesh drop by 27 percent during April - Sept after govt restrictions,20251113T160000Z,arabherald.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124113
https://www.livemint.com/economy/india-export-strategy-us-tariffs-msme-africa-south-asia-trade-11763031103340.html,"India holding consultations with potential buyers from Ghana , Rwanda , Uganda , Nepal as part of Plan B",20251114T003000Z,livemint.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124125
https://navbharattimes.indiatimes.com/business/business-news/india-textile-exports-to-111-countries-recorded-a-10-percent-yoy-growth-during-april-to-september-2025/articleshow/125303070.cms,"India Textile Exports : ट्रंप का टैरिफ भी नहीं रोक पाया ... भारत ने टेक्सटाइल एक्सपोर्ट में कमाल कर दिया , 10 % की आई तेजी",20251113T164500Z,navbharattimes.indiatimes.com,Hindi,IND,DEU,0.0,2025-11-15T18:09:42.124150
https://www.163.com/dy/article/KE17RBL60519IGF7.html,罗志恒 ： 压力下的突围 中国出口韧性从何而来 ， 能否持续 ？ ,20251110T103000Z,163.com,Chinese,IND,DEU,0.0,2025-11-15T18:09:42.124162
https://aninews.in/news/national/general-news/indias-textile-exports-growth-recorded-in-111-countries-shows-resilience-and-diversification20251112225006/,"India textile exports growth recorded in 111 countries , shows resilience and diversification",20251112T184500Z,aninews.in,English,IND,DEU,0.0,2025-11-15T18:09:42.124173
https://news.webindia123.com/news/Articles/India/20251112/4383018.html,"India textile exports growth recorded in 111 countries , shows resilience and diversification",20251112T183000Z,news.webindia123.com,English,IND,DEU,0.0,2025-11-15T18:09:42.124185
https://china.qianlong.com/2025/1109/8578949.shtml,借助  城市友谊的虚线  感知中国式开放更细 、 更精准 、 更有温度 - 千龙网 · 中国首都网,20251108T174500Z,china.qianlong.com,Chinese,IND,DEU,0.0,2025-11-15T18:09:42.124196
