year,month,country_1_iso3,country_2_iso3,avg_tone,article_count,goldstein_scale_avg
2025,11,KEN,TZA,-5.079421614087147,4,-0.875
2025,11,EUR,IND,4.58937198067633,1,8.0
2025,11,KIR,KIR,0.0,6,0.39999999999999997
2025,11,LBN,USA,-0.42976622430033357,14,1.2000000000000002
2025,11,PSE,TUR,-1.3823332703676674,18,-1.2444444444444442
2025,11,GBR,VAT,2.408050682860438,7,2.8
2025,11,URY,TUR,-2.4213681538787437,11,2.781818181818182
2025,11,IRN,PAK,-3.357766768036821,8,1.4500000000000002
2025,11,USA,MMR,-5.4172245044302905,2,-7.6
2025,11,BRA,ESP,2.13523131672598,1,1.9
2025,11,EGY,IRQ,7.31292517006803,1,0.0
2025,11,DEU,EST,0.22421524663677,4,1.5
2025,11,BEL,MDA,-6.37450199203188,1,7.0
2025,11,CMR,GBR,4.79386385426654,1,-5.0
2025,11,KEN,AFR,-3.197093491226005,6,2.3499999999999996
2025,11,KNA,TWN,6.26959247648903,4,4.25
2025,11,ITA,AUT,2.5849983899663975,4,4.5
2025,11,EUR,EGY,-3.0864635010630828,4,4.0
2025,11,CIV,FRA,0.12004801920769,1,0.0
2025,11,DOM,ESP,3.15955766192733,1,7.0
2025,11,DZA,MAR,-2.77777777777777,2,8.0
2025,11,LKA,SAS,9.27357032457496,2,0.6999999999999997
2025,11,BEL,CYP,-2.19298245614035,1,1.0
2025,11,QAT,SAU,1.148645604208797,10,-0.7999999999999998
2025,11,MAR,GBR,0.540540540540541,2,6.4
2025,11,HUN,UKR,-1.1798383378431212,47,2.68936170212766
2025,11,AZE,UZB,3.1118826644944786,22,3.336363636363636
2025,11,UGA,ZWE,0.69204152249135,2,2.8
2025,11,ITA,MRT,3.73831775700935,1,2.8
2025,11,AFR,FIN,2.1053117612293155,5,1.88
2025,11,DNK,AZE,0.3424174895124091,11,2.090909090909091
2025,11,ZAF,DEU,1.81818181818181,1,7.4
2025,11,SWE,AFR,2.382725655847045,2,-5.0
2025,11,YEM,ARE,9.26090828138914,1,0.0
2025,11,IND,AGO,2.176545729026693,6,1.9
2025,11,AUS,GMB,-1.36570561456753,2,4.0
2025,11,LTU,BEL,-0.84507042253521,2,1.9
2025,11,FRA,JPN,9.6,3,3.4
2025,11,BEL,LTU,-0.84507042253521,2,2.8
2025,11,MLT,DEU,-9.50570342205323,2,-2.0
2025,11,SYR,AFR,-1.34048257372654,2,1.9
2025,11,IRQ,USA,-2.425798213115968,43,-0.2441860465116279
2025,11,NIC,USA,-3.5139489457780027,11,-0.0181818181818183
2025,11,GTM,PAK,4.46601941747573,4,3.0999999999999996
2025,11,USA,BLZ,-4.978351817613381,14,-3.3071428571428574
2025,11,ZAF,NGA,-7.689305704736896,3,-0.7
2025,11,BGR,TUR,-3.31884630580798,6,2.3499999999999996
2025,11,FJI,JPN,5.464184772283886,8,4.1125
2025,11,SEA,SGP,-0.29980857292996244,4,-1.025
2025,11,RUS,KGZ,-6.102531102531104,3,-4.666666666666666
2025,11,COG,MAR,2.68817204301075,1,3.5
2025,11,PER,RUS,-1.27041742286751,3,-10.0
2025,11,USA,UZB,3.05343511450382,1,2.8
2025,11,AZE,USA,-0.9055042943206127,30,2.783333333333333
2025,11,DEU,BEL,-5.08857198353048,3,-0.13333333333333375
2025,11,PAK,RUS,-0.1812565557655558,12,1.3333333333333333
2025,11,EUR,SVK,-0.08569088274210657,3,4.199999999999999
2025,11,AGO,AGO,0.5505673555858239,12,2.408333333333333
2025,11,JOR,NGA,-1.2732024261435038,5,1.46
2025,11,CAN,MEX,-0.9061998255357986,8,-1.2624999999999997
2025,11,RUS,MDV,-1.6649420532214034,6,-3.8333333333333335
2025,11,JOR,TUR,1.0285085338578657,16,3.0124999999999997
2025,11,MCO,BHS,-2.76243093922652,3,-4.0
