iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
ABW,2013.0,2727849720.67039,105675.0,-2.37206524252261,21.726779488046034,11.568133088366324,0
AFG,2013.0,20146416757.5987,31622704.0,7.38577178397855,23.72629228116838,17.269385933208728,1
AGO,2013.0,132339109040.232,26165620.0,8.77781429332624,25.608633473160918,17.079956931502593,2
AIA,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,3
ALB,2013.0,12776224496.9718,2895092.0,1.93762080205223,23.270851819556007,14.878527792825588,4
AND,2013.0,3193512950.02419,75194.0,2.06159619443141,21.88438738639035,11.227840018365713,5
ARE,2013.0,400218529747.597,7693031.0,1.1011183637571,26.71527655924506,15.855825542058055,6
ARG,2013.0,552025140252.246,42582455.0,2.06159619443141,27.036859426123453,17.566952895428013,7
ARM,2013.0,11121464437.0415,3022000.0,5.78966778544651,23.132142811166425,14.921429752721451,8
ASM,2013.0,638000000.0,54006.0,1.96682557818842,20.27384884287646,10.896868946774847,9
ATA,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,10
ATF,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,11
ATG,2013.0,1325425925.92593,88064.0,1.05949782356169,21.00499969901296,11.385830457166396,12
AUS,2013.0,1577123329410.88,23128129.0,2.4498886414254,28.08662362593205,16.956560183554945,13
AUT,2013.0,426580502769.417,8479823.0,2.00015616900597,26.779066938166164,15.953200252835723,14
AZE,2013.0,74160560123.6902,9416801.0,2.41571745279419,25.029498311097417,16.05800609846676,15
BDI,2013.0,2451606632.29246,10439341.0,7.93795807492418,21.620009415271515,16.16109211161257,16
BEL,2013.0,524097026598.55,11159407.0,1.1130959402754,26.984942669392797,16.227793466915436,17
BEN,2013.0,12517845127.6775,10708834.0,0.428888888888792,23.25042107348211,16.18657965966323,18
BES,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,19
BFA,2013.0,13444300485.8412,17695409.0,0.533738507090536,23.321821097559283,16.688815841880388,20
BGD,2013.0,149998957434.186,156532141.0,7.53040640913172,25.733894180586418,18.868771927048552,21
BGR,2013.0,55852123989.9504,7265115.0,0.890093540913002,24.74597339201513,15.79859482182395,22
BHR,2013.0,33823324468.0851,1253191.0,3.30001156888442,24.24441647449431,14.041204454381962,23
BHS,2013.0,10395800000.0,378953.0,0.722414784530551,23.064667715468264,12.84517010466672,24
BIH,2013.0,18179108530.5261,3610859.0,-0.0930456838317588,23.623538888823823,15.099456529084296,25
BLM,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,26
BLR,2013.0,75527558966.4473,9443211.0,18.3122610377874,25.04776344603439,16.060806734485627,27
BLZ,2013.0,2032750000.0,341627.0,0.50974776898322,21.432655393544167,12.741477704750539,28
BMU,2013.0,6465756000.0,63574.0,2.06159619443141,22.589785779843243,11.059975590290321,29
BOL,2013.0,30659338885.6729,10682608.0,5.73640023719607,24.146203147426775,16.184127650052286,30
BRA,2013.0,2472819535742.73,198478299.0,6.20431066640101,28.536380127985346,19.106190332216418,31
BRB,2013.0,5361158350.0,277665.0,1.81410436049105,22.402445898941856,12.534174231517603,32
BRN,2013.0,18094148099.4922,411202.0,0.389205053123632,23.618854413577377,12.926842288816323,33
BTN,2013.0,1943696951.76613,725273.0,8.77638345268213,21.387857642337995,13.494304793473349,34
BVT,2013.0,189798603751.235,11439213.0,1.96682557818842,25.969229366679137,16.252557835261833,35
BWA,2013.0,14271738933.2042,2140682.0,5.88460707056817,23.381547120450577,14.576635494956179,36
